target_species,target_species_c,cospecies_scientific_name,cospecies_family,cospecies_acronym,cospecies_nativity,cospecies_c,cospecies_w,cospecies_physiognomy,cospecies_duration,cospecies_common_name
Symphyotrichum lateriflorum,4,Abutilon theophrasti,Malvaceae,ABUTHE,non-native,0,1,forb,annual,velvetleaf
Symphyotrichum lateriflorum,4,Acalypha rhomboidea,Euphorbiaceae,ACARHO,native,0,1,forb,annual,common three-seed-mercury
Symphyotrichum lateriflorum,4,Acer ginnala,Aceraceae,ACEGIN,non-native,0,2,tree,perennial,amur maple
Symphyotrichum lateriflorum,4,Acer negundo,Aceraceae,ACENEG,native,0,0,tree,perennial,ash-leaf maple
Symphyotrichum lateriflorum,4,Acer saccharinum,Aceraceae,ACESAI,native,1,-1,tree,perennial,silver maple
Symphyotrichum lateriflorum,4,Acer saccharum,Aceraceae,ACESAU,native,5,1,tree,perennial,sugar maple
Symphyotrichum lateriflorum,4,Achillea millefolium,Asteraceae,ACHMIL,non-native,0,1,forb,perennial,common yarrow
Symphyotrichum lateriflorum,4,Acorus americanus,Acoraceae,ACOAME,native,9,-2,forb,perennial,several-vein sweetflag
Symphyotrichum lateriflorum,4,Actaea pachypoda,Ranunculaceae,ACTPAC,native,8,1,forb,perennial,white baneberry
Symphyotrichum lateriflorum,4,Agalinis tenuifolia,Scrophulariaceae,AGATEN,native,3,-1,forb,annual,slender-leaf false foxglove
Symphyotrichum lateriflorum,4,Agastache nepetoides,Lamiaceae,AGANEP,native,5,1,forb,perennial,yellow giant-hyssop
Symphyotrichum lateriflorum,4,Ageratina altissima,Asteraceae,AGEALT,native,3,1,forb,perennial,white snakeroot
Symphyotrichum lateriflorum,4,Agrimonia gryposepala,Rosaceae,AGRGRY,native,2,1,forb,perennial,tall hairy grooveburr
Symphyotrichum lateriflorum,4,Agrostis gigantea,Poaceae,AGRALB,non-native,0,-1,grass,perennial,black bent
Symphyotrichum lateriflorum,4,Alisma subcordatum,Alismataceae,ALISUB,native,3,-2,forb,perennial,american water-plantain
Symphyotrichum lateriflorum,4,Alisma triviale,Alismataceae,ALITRI,native,3,-2,forb,perennial,northern water-plantain
Symphyotrichum lateriflorum,4,Alliaria petiolata,Brassicaceae,ALLPET,non-native,0,0,forb,biennial,garlic-mustard
