target_species,target_species_c,cospecies_n,cospecies_native_n,cospecies_mean_c,cospecies_native_mean_c,cospecies_std_dev_c,cospecies_native_std_dev_c,percent_native,percent_nonnative,percent_native_low_c,percent_native_med_c,percent_native_high_c,discrepancy_c
Abutilon theophrasti,0,3058,2051,2.4041857423152386,3.584592881521209,2.8174433540859827,2.757523910079747,0.6706998037933289,0.32930019620667106,0.6572923479398299,0.2622629169391759,0.08044473512099415,-3.584592881521209
Acalypha gracilens,4,168,108,2.1547619047619047,3.3518518518518516,2.4978747738997993,2.3849795344438838,0.6428571428571429,0.3571428571428571,0.6785714285714286,0.29166666666666663,0.029761904761904767,0.6481481481481484
Acalypha rhomboidea,0,3152,2067,2.3670685279187818,3.609579100145138,2.887519061813843,2.8686922330035056,0.6557741116751269,0.3442258883248731,0.6719543147208121,0.23508883248730972,0.09295685279187815,-3.609579100145138
Acaulon muticum,2,202,132,2.504950495049505,3.8333333333333335,2.369473197014035,1.8664031075296776,0.6534653465346535,0.3465346534653465,0.6336633663366337,0.3465346534653465,0.01980198019801982,-1.8333333333333335
Acer campestre,0,21,13,2.9523809523809526,4.769230769230769,3.5139179056459255,3.3454906504588666,0.6190476190476191,0.38095238095238093,0.6190476190476191,0.19047619047619047,0.19047619047619047,-4.769230769230769
Acer ginnala,0,618,471,3.7184466019417477,4.8789808917197455,3.3019344334520992,2.9391350264813316,0.7621359223300971,0.23786407766990292,0.48220064724919093,0.33656957928802594,0.18122977346278313,-4.8789808917197455
Acer negundo,0,6286,4194,2.388641425389755,3.580114449213162,2.741169346661389,2.6450562963105586,0.6671969455933822,0.33280305440661784,0.655902004454343,0.27378300986318804,0.07031498568246897,-3.580114449213162
Acer nigrum,5,379,311,4.224274406332454,5.147909967845659,3.185589525176566,2.7575094779348124,0.820580474934037,0.17941952506596304,0.39313984168865435,0.395778364116095,0.21108179419525064,-0.14790996784565902
Acer platanoides,0,1912,1337,2.702405857740586,3.8646222887060584,2.6878088758581806,2.4163391909085954,0.6992677824267782,0.30073221757322177,0.5998953974895398,0.33995815899581583,0.06014644351464438,-3.8646222887060584
Acer pseudoplatanus,0,465,331,2.9376344086021504,4.126888217522659,2.448253863087699,1.872181271060374,0.7118279569892473,0.2881720430107527,0.5591397849462365,0.410752688172043,0.03010752688172047,-4.126888217522659
Acer rubrum,3,4790,3504,2.8062630480167017,3.836187214611872,2.796061578079963,2.5953675029483443,0.7315240083507307,0.2684759916492693,0.5795407098121086,0.3473903966597077,0.07306889352818369,-0.8361872146118721
Acer rubrum,5,4790,3504,2.8062630480167017,3.836187214611872,2.796061578079963,2.5953675029483443,0.7315240083507307,0.2684759916492693,0.5795407098121086,0.3473903966597077,0.07306889352818369,1.163812785388128
Acer rubrum var. rubrum,3,1458,1096,3.2373113854595337,4.306569343065694,2.416752652651518,1.7783560980932656,0.7517146776406035,0.2482853223593965,0.49108367626886146,0.4849108367626886,0.02400548696844995,-1.3065693430656937
Acer rubrum var. trilobum,4,153,108,2.6993464052287583,3.824074074074074,2.2771316425213235,1.7392054459570894,0.7058823529411765,0.2941176470588235,0.5882352941176471,0.40522875816993464,0.0065359477124182774,0.17592592592592604
Acer saccharinum,1,11396,7760,2.503334503334503,3.6762886597938143,2.7073247189304332,2.540022141155822,0.6809406809406809,0.31905931905931906,0.6347841347841348,0.30098280098280106,0.06423306423306419,-2.6762886597938143
Acer saccharinum,5,11396,7760,2.503334503334503,3.6762886597938143,2.7073247189304332,2.540022141155822,0.6809406809406809,0.31905931905931906,0.6347841347841348,0.30098280098280106,0.06423306423306419,1.3237113402061857
Acer saccharum,5,2961,2219,3.3910840932117527,4.525011266336188,2.8374382134040212,2.36877054270836,0.7494089834515366,0.2505910165484634,0.4940898345153664,0.4160756501182033,0.08983451536643028,0.4749887336638121
Acer x freemanii,0,272,151,3.261029411764706,5.874172185430464,3.679236099001325,3.0006768919952918,0.5551470588235294,0.44485294117647056,0.5551470588235294,0.23529411764705876,0.2095588235294118,-5.874172185430464
Achillea filipendulina,0,178,129,3.331460674157303,4.596899224806202,3.1599934028972823,2.8187967841044377,0.7247191011235955,0.2752808988764045,0.5056179775280899,0.3539325842696629,0.1404494382022472,-4.596899224806202
Achillea millefolium,0,5952,4188,2.711021505376344,3.8529130850047757,2.8405493689425616,2.658466764183842,0.7036290322580645,0.2963709677419355,0.6063508064516129,0.30779569892473124,0.08585349462365588,-3.8529130850047757
Achillea millefolium cult. roseum,0,55,48,4.781818181818182,5.479166666666667,3.1191814518063756,2.697434425944309,0.8727272727272727,0.12727272727272732,0.32727272727272727,0.4181818181818182,0.2545454545454545,-5.479166666666667
Acorus americanus,9,1052,819,3.6045627376425857,4.6300366300366305,3.2156104283756637,2.9209012196729485,0.7785171102661597,0.22148288973384034,0.49619771863117873,0.33555133079847904,0.16825095057034223,4.3699633699633695
Acorus calamus,0,1344,1003,3.0773809523809526,4.123629112662014,2.9364011156942555,2.690389117362814,0.7462797619047619,0.25372023809523814,0.5550595238095238,0.33407738095238093,0.11086309523809523,-4.123629112662014
Acroptilon repens,0,81,60,2.308641975308642,3.1166666666666667,2.478114077825323,2.4012120291718406,0.7407407407407407,0.2592592592592593,0.6790123456790124,0.2716049382716049,0.04938271604938271,-3.1166666666666667
Actaea pachypoda,6,2534,2042,4.318074191002368,5.35847208619001,3.1796848362901433,2.640059836384546,0.8058405682715075,0.19415943172849248,0.3851617995264404,0.4119968429360695,0.2028413575374901,0.6415279138099903
Actaea pachypoda,8,2534,2042,4.318074191002368,5.35847208619001,3.1796848362901433,2.640059836384546,0.8058405682715075,0.19415943172849248,0.3851617995264404,0.4119968429360695,0.2028413575374901,2.6415279138099903
Actaea rubra,10,156,144,5.794871794871795,6.277777777777778,3.015482518962277,2.6083364053393887,0.9230769230769231,0.07692307692307687,0.21794871794871795,0.41666666666666663,0.3653846153846154,3.7222222222222223
Adiantum pedatum,10,203,118,3.541871921182266,6.093220338983051,3.7511675335424206,2.9351605268804546,0.5812807881773399,0.41871921182266014,0.5123152709359606,0.2561576354679802,0.23152709359605916,3.906779661016949
Aegilops cylindrica,0,30,24,3.6333333333333333,4.541666666666667,4.0639995022173645,4.064471372298233,0.8,0.19999999999999996,0.5666666666666667,0.1333333333333333,0.30000000000000004,-4.541666666666667
Aegopodium podagraria,0,268,171,2.3582089552238807,3.695906432748538,2.736637224222121,2.6056354475082113,0.6380597014925373,0.3619402985074627,0.667910447761194,0.2574626865671642,0.07462686567164178,-3.695906432748538
Aesculus flava,0,352,286,3.6420454545454546,4.4825174825174825,2.3357116860925022,1.7141440372369654,0.8125,0.1875,0.4147727272727273,0.5625,0.022727272727272707,-4.4825174825174825
Aesculus glabra,7,193,132,2.4145077720207255,3.5303030303030303,2.6426385353136546,2.5032479479969725,0.6839378238341969,0.3160621761658031,0.6580310880829016,0.27461139896373055,0.06735751295336789,3.4696969696969697
