date,transect,team,plot_number,plot_gps_lat,plot_gps_long,species_name,C,quadrant_1,quadrant_2,quadrant_3,quadrant_4
2022-09-28T00:00:00Z,ravine,1,1,42.25177,87.827290000000005,amphicarpaea bracteata,5,x,x,x,x
2022-09-28T00:00:00Z,ravine,1,1,42.25177,87.827290000000005,solidago ulmifolia,5,x,x,NA,x
2022-09-28T00:00:00Z,ravine,1,1,42.25177,87.827290000000005,taraxacum officinale,nn,x,x,NA,NA
2022-09-28T00:00:00Z,ravine,1,1,42.25177,87.827290000000005,solidago flexicaulis,7,x,NA,NA,NA
2022-09-28T00:00:00Z,ravine,1,1,42.25177,87.827290000000005,juncus tenuis,0,x,x,NA,NA
2022-09-28T00:00:00Z,ravine,1,1,42.25177,87.827290000000005,agrimonia gryposepala,2,x,x,x,NA
2022-09-28T00:00:00Z,ravine,1,1,42.25177,87.827290000000005,poa sp.,NA,x,x,x,x
2022-09-28T00:00:00Z,ravine,1,1,42.25177,87.827290000000005,ageratina altissima,3,NA,NA,NA,NA
2022-09-28T00:00:00Z,ravine,1,1,42.25177,87.827290000000005,unknown,NA,NA,x,NA,NA
2022-09-28T00:00:00Z,ravine,1,1,42.25177,87.827290000000005,fraxinus americana,5,NA,NA,x,x
2022-09-28T00:00:00Z,ravine,1,1,42.25177,87.827290000000005,acer rubrum,5,NA,NA,x,NA
2022-09-28T00:00:00Z,ravine,1,1,42.25177,87.827290000000005,anemone quinquefolia,7,NA,NA,x,NA
2022-09-28T00:00:00Z,ravine,1,1,42.25177,87.827290000000005,tilia americana,5,NA,NA,x,NA
2022-09-28T00:00:00Z,ravine,1,1,42.25177,87.827290000000005,aralia nudicalis,8,NA,NA,x,NA
2022-09-28T00:00:00Z,ravine,1,1,42.25177,87.827290000000005,aster sp.,NA,NA,NA,x,NA
2022-09-28T00:00:00Z,ravine,1,1,42.25177,87.827290000000005,symphyotrichum drumondii,3,NA,NA,NA,x
2022-09-28T00:00:00Z,ravine,1,2,42.2516,87.827169999999995,ranunculus recurvatus,5,x,x,NA,NA
2022-09-28T00:00:00Z,ravine,1,2,42.2516,87.827169999999995,aralia nudicalis,8,NA,NA,x,x
2022-09-28T00:00:00Z,ravine,1,2,42.2516,87.827169999999995,fraxinus americana,5,NA,NA,x,NA
2022-09-28T00:00:00Z,ravine,1,2,42.2516,87.827169999999995,parhenocissus inserta,0,NA,NA,x,x
2022-09-28T00:00:00Z,ravine,1,2,42.2516,87.827169999999995,poa sp.,NA,NA,NA,x,x
2022-09-28T00:00:00Z,ravine,1,2,42.2516,87.827169999999995,cornus racemosa,1,NA,NA,x,NA
2022-09-28T00:00:00Z,ravine,1,2,42.2516,87.827169999999995,symphyotrichum lateriflorum,4,NA,NA,x,NA
2022-09-28T00:00:00Z,ravine,1,2,42.2516,87.827169999999995,agrimonia gryposepala,2,NA,NA,NA,x
2022-09-28T00:00:00Z,ravine,1,2,42.2516,87.827169999999995,solidago ulmifolia,5,NA,NA,NA,x
2022-09-28T00:00:00Z,ravine,1,2,42.2516,87.827169999999995,maianthemum canadense,7,NA,NA,NA,x
2022-10-05T00:00:00Z,savanna,1,1,42.25141,87.827870000000004,symphyotrichum novae-angliae,3,x,NA,NA,NA
2022-10-05T00:00:00Z,savanna,1,1,42.25141,87.827870000000004,symphyotrichum praealtum,7,x,x,x,x
2022-10-05T00:00:00Z,savanna,1,1,42.25141,87.827870000000004,solidago sp.,NA,x,x,x,NA
2022-10-05T00:00:00Z,savanna,1,1,42.25141,87.827870000000004,anemone virginiana,5,x,x,NA,NA
2022-10-05T00:00:00Z,savanna,1,1,42.25141,87.827870000000004,zizia aurea,5,x,x,x,x
2022-10-05T00:00:00Z,savanna,1,1,42.25141,87.827870000000004,poa sp.,NA,x,x,x,x
2022-10-05T00:00:00Z,savanna,1,1,42.25141,87.827870000000004,helianthus sp.,NA,x,NA,NA,NA
2022-10-05T00:00:00Z,savanna,1,1,42.25141,87.827870000000004,solidago canadensis,1,NA,NA,NA,x
2022-10-05T00:00:00Z,savanna,1,2,42.25142,87. 82761,vinca minor,nn,x,x,x,x
2022-10-05T00:00:00Z,savanna,1,2,42.25142,87. 82762,anemone virginiana,5,x,x,NA,x
2022-10-05T00:00:00Z,savanna,1,2,42.25142,87. 82763,helianthus sp.,NA,x,x,x,NA
2022-10-05T00:00:00Z,savanna,1,2,42.25142,87. 82764,helianthus grosseserratus,4,x,x,NA,x
2022-10-05T00:00:00Z,savanna,1,2,42.25142,87. 82765,monarda fistulosa,4,x,x,x,x
2022-10-05T00:00:00Z,savanna,1,2,42.25142,87. 82766,solidago canadensis,1,x,x,x,x
2022-10-05T00:00:00Z,savanna,1,2,42.25142,87. 82767,poa sp.,NA,x,x,x,x
2022-10-05T00:00:00Z,savanna,1,2,42.25142,87. 82768,zizia aurea,5,x,NA,x,x
2022-10-05T00:00:00Z,savanna,1,2,42.25142,87. 82769,euthamia nuttalli,3,x,x,x,x
2022-10-05T00:00:00Z,savanna,1,2,42.25142,87. 82770,asclepias syriaca,0,NA,x,NA,NA
2022-10-05T00:00:00Z,savanna,1,2,42.25142,87. 82771,tilia americana,5,NA,NA,x,NA
2022-10-05T00:00:00Z,savanna,1,2,42.25142,87. 82772,rhamnus cathartica,nn,NA,NA,NA,x
2022-10-19T00:00:00Z,wetland,1,1,42.25,87.828109999999995,cirsium arvense,0,NA,NA,NA,NA
2022-10-19T00:00:00Z,wetland,1,1,42.25,87.828109999999995,diervilla lonicera,10,x,x,x,NA
2022-10-19T00:00:00Z,wetland,1,1,42.25,87.828109999999995,glechoma hederaceae,0,x,x,x,x
2022-10-19T00:00:00Z,wetland,1,1,42.25,87.828109999999995,hieracium sp.,NA,NA,x,NA,x
2022-10-19T00:00:00Z,wetland,1,1,42.25,87.828109999999995,pycnathemum pilosum,4,NA,x,NA,NA
2022-10-19T00:00:00Z,wetland,1,1,42.25,87.828109999999995,symphyotrichum drummondii,3,NA,NA,x,NA
2022-10-19T00:00:00Z,wetland,1,2,42.15,87.433899999999994,euthamia graminifolia,4,x,x,NA,x
2022-10-19T00:00:00Z,wetland,1,2,42.15,87.433899999999994,zizia aurea,5,x,NA,NA,NA
2022-10-19T00:00:00Z,wetland,1,2,42.15,87.433899999999994,poa sp.,NA,x,x,x,x
2022-10-19T00:00:00Z,wetland,1,2,42.15,87.433899999999994,mentha canadensis,5,x,NA,NA,NA
2022-10-19T00:00:00Z,wetland,1,2,42.15,87.433899999999994,glechoma hederaceae,0,x,x,x,x
2022-10-19T00:00:00Z,wetland,1,2,42.15,87.433899999999994,echinacea purpurea,10,x,NA,NA,x
2022-10-19T00:00:00Z,wetland,1,2,42.15,87.433899999999994,carex sp.,NA,x,NA,x,x
